,start,finish,hop_len,no_of_hops,avg_hop_loss,transponder_modulation,transponder_bitrate,P0,Gamma,N,NF,BR,OSNR
23,Vancouver,Chicago,3922.5800467460067,53.0,17.70548093991903,QPSK,200,18.801036011378404,17.70548093991903,53.0,5,12500,21.057796703034228
24,Vancouver,Dallas,3985.559687900821,51.0,16.254309432895397,QPSK,400,12.153191165894501,16.254309432895397,51.0,5,12500,16.245786172851894
25,Vancouver,SaltLakeCity,1471.299958620381,19.0,15.868667228527599,32QAM,400,19.190927183186687,15.868667228527599,19.0,5,12500,33.543030930090765
26,Vancouver,Portland,259.758312652394,2.0,17.02514926325015,32QAM,200,14.755570028567837,17.02514926325015,2.0,5,12500,50.464109726814314
27,Vancouver,Winnipeg,2890.3070401284776,40.0,15.758132165331116,32QAM,200,12.636604458077358,15.758132165331116,40.0,5,12500,19.654838518702945
28,Vancouver,LosAngeles,1222.1510671780518,14.0,17.177922787035836,16QAM,100,14.628206566400745,17.177922787035836,14.0,5,12500,30.724871250308382
29,Vancouver,Portland,259.758312652394,2.0,18.39202999938515,16QAM,200,12.72606093317672,18.39202999938515,2.0,5,12500,47.06771989528818
30,Vancouver,Seattle,138.6671811785203,1.0,17.497698589993195,8QAM,200,16.09000532520888,17.497698589993195,1.0,5,12500,58.257467502311755
31,Vancouver,LosAngeles,1222.1510671780518,14.0,16.783244773201474,32QAM,100,11.727548377426803,16.783244773201474,14.0,5,12500,28.21889107516884
32,Vancouver,Calgary,1008.0540464378444,14.0,16.524813528129425,QPSK,200,15.006698856393662,16.524813528129425,14.0,5,12500,31.756472799207728
33,Vancouver,SaltLakeCity,3370.0320735631985,42.0,17.972696563095486,QPSK,400,19.68344500220613,17.972696563095486,42.0,5,12500,23.999213023373017
34,Vancouver,LasVegas,2313.5869069453174,27.0,17.90248730995223,8QAM,200,16.70412130163484,17.90248730995223,27.0,5,12500,25.5084260987354
35,Vancouver,LasVegas,1925.5815484090683,25.0,16.04538371607878,QPSK,200,15.48845628718622,16.04538371607878,25.0,5,12500,26.919475089521484
36,Vancouver,Portland,259.758312652394,2.0,17.396224659783883,8QAM,100,14.808514325281328,17.396224659783883,2.0,5,12500,50.145978626994065
37,Vancouver,Calgary,1008.0540464378444,14.0,18.54087754321884,32QAM,400,15.66751029904395,18.54087754321884,14.0,5,12500,30.4012202267686
38,Vancouver,Seattle,3285.2810719826316,41.0,18.343449973423652,16QAM,100,12.590770492044182,18.343449973423652,41.0,5,12500,16.776760618673535
39,Vancouver,StLouis,3874.6875437045646,50.0,15.197721115666862,8QAM,400,13.829739672509053,15.197721115666862,50.0,5,12500,19.176949269656802
40,Vancouver,StLouis,7536.041005509255,94.0,17.200881517007495,8QAM,100,15.16275362286083,17.200881517007495,94.0,5,12500,12.194085050249356
41,Vancouver,SaltLakeCity,1513.0547526857213,20.0,16.539555990274742,16QAM,200,14.344330741058346,16.539555990274742,20.0,5,12500,27.512612782339758
42,Vancouver,Minneapolis,4721.09037379648,60.0,17.299465492140936,16QAM,400,11.353255115929445,17.299465492140936,60.0,5,12500,12.775504768663566
43,Vancouver,LasVegas,1561.2992784067887,18.0,16.306605802442753,QPSK,100,17.37420846724494,16.306605802442753,18.0,5,12500,31.829045852936616
44,Vancouver,Denver,4597.812589930667,61.0,16.873837417052307,16QAM,400,10.069701469611344,16.873837417052307,61.0,5,12500,11.752286177922002
45,Vancouver,Sacrameto,3070.932391221495,37.0,17.940943520994423,32QAM,400,13.036587234233268,17.940943520994423,37.0,5,12500,18.651625353892697
46,Vancouver,SanFrancisco,733.3661095672783,8.0,18.27091577615571,32QAM,100,14.788734022113708,18.27091577615571,8.0,5,12500,35.38856359625572
47,Vancouver,Phoenix,4395.760366528661,56.0,16.546852858224433,QPSK,100,19.223616600039705,16.546852858224433,56.0,5,12500,22.088407601559823
48,Vancouver,Portland,259.758312652394,2.0,16.486250447926416,QPSK,100,19.394612096331244,16.486250447926416,2.0,5,12500,55.642050609901446
49,Vancouver,Portland,259.758312652394,2.0,16.409378830193774,QPSK,100,10.069859659045573,16.409378830193774,2.0,5,12500,46.39416979034843
50,Vancouver,Cincinnati,9247.350908653681,114.0,16.787978536913563,QPSK,200,12.816314511067771,16.787978536913563,114.0,5,12500,8.33151225730532
51,Vancouver,Chicago,3922.5800467460067,53.0,15.827437856119099,8QAM,200,17.130120077967682,15.827437856119099,53.0,5,12500,21.264923853423426
52,Vancouver,SaltLakeCity,1471.299958620381,19.0,16.203412427718117,16QAM,100,12.461310691073361,16.203412427718117,19.0,5,12500,26.478669238786892
53,Vancouver,Calgary,1976.3006648682579,25.0,16.727432671982253,16QAM,100,15.685053164496207,16.727432671982253,25.0,5,12500,26.434023010928
54,Vancouver,SanDiego,2535.9081235549056,30.0,17.013813300236574,32QAM,100,13.823687924998154,17.013813300236574,30.0,5,12500,22.46306157523611
55,Vancouver,ElPaso,4268.18108179384,56.0,16.96979545484239,32QAM,400,10.904844199096676,16.96979545484239,56.0,5,12500,13.34669260399886
56,Vancouver,Calgary,1008.0540464378444,14.0,16.527166151005797,32QAM,200,11.247617462524566,16.527166151005797,14.0,5,12500,27.995038782462274
57,Vancouver,SanDiego,5000.746209556219,64.0,16.75796357097764,32QAM,100,13.94567124534931,16.75796357097764,64.0,5,12500,15.264037607871018
58,Vancouver,LasVegas,1883.826754343728,23.0,17.119520302942615,8QAM,100,11.092197770261112,17.119520302942615,23.0,5,12500,22.282896075123077
59,Vancouver,Phoenix,3859.4251447860142,48.0,16.775637198765974,QPSK,200,19.038902774927358,16.775637198765974,48.0,5,12500,23.216416234178553
60,Vancouver,Phoenix,3901.1799388513546,49.0,16.353193029306322,32QAM,100,16.582381618533034,16.353193029306322,49.0,5,12500,20.976146375216516
61,Vancouver,NewOrleans,6264.094492692796,82.0,15.573519299850563,QPSK,100,11.279265227091761,15.573519299850563,82.0,5,12500,11.303714221694733
62,Vancouver,Calgary,1008.0540464378444,14.0,17.62823386365401,16QAM,100,14.441045615162942,17.62823386365401,14.0,5,12500,30.087399222452433
63,Vancouver,Calgary,1008.0540464378444,14.0,16.17422009650449,32QAM,200,19.780866336143525,16.17422009650449,14.0,5,12500,36.881233710582535
64,Vancouver,Seattle,138.6671811785203,1.0,17.051456268660964,QPSK,200,16.756076974077743,17.051456268660964,1.0,5,12500,59.36978147251287
65,Vancouver,Philadelphia,8712.081563126756,109.0,17.474375989526614,32QAM,100,18.208104053735653,17.474375989526614,109.0,5,12500,13.485410009013691
66,Vancouver,Seattle,138.6671811785203,1.0,16.428178304432144,QPSK,400,13.57603654992897,16.428178304432144,1.0,5,12500,56.81301901259289
67,Vancouver,Denver,2261.831246490179,29.0,16.03155748536777,QPSK,400,19.893389317345186,16.03155748536777,29.0,5,12500,29.854034299208763
68,Vancouver,Sacrameto,849.6728003417383,9.0,16.285661646033656,QPSK,200,10.041800214091056,16.285661646033656,9.0,5,12500,31.44905356179129
69,Vancouver,SaltLakeCity,1513.0547526857213,20.0,18.32922646895114,16QAM,400,15.707183296651976,18.32922646895114,20.0,5,12500,27.085794859257007
70,Vancouver,Calgary,1008.0540464378444,14.0,17.738342145310448,16QAM,200,16.387519748754123,17.738342145310448,14.0,5,12500,31.923765074387177
71,Vancouver,Seattle,138.6671811785203,1.0,18.252546546138657,8QAM,400,19.66043301997958,18.252546546138657,1.0,5,12500,61.07304724093697
72,Vancouver,KansasCity,3468.808276635722,46.0,17.42449620857175,16QAM,200,18.41598430852485,17.42449620857175,46.0,5,12500,22.370234902158217
73,Vancouver,Miami,5610.785462315662,72.0,16.93711135982623,8QAM,400,18.57174238012632,16.93711135982623,72.0,5,12500,18.533130597235612
74,Vancouver,Winnipeg,2890.3070401284776,40.0,18.82604560021237,QPSK,200,13.155038652722922,18.82604560021237,40.0,5,12500,17.105359278467233
75,Vancouver,Calgary,1008.0540464378444,14.0,16.792141842935703,QPSK,200,18.2144753495101,16.792141842935703,14.0,5,12500,34.69692097751789
76,Vancouver,Minneapolis,3313.250213511017,45.0,17.189908132068343,8QAM,200,18.999046527645596,17.189908132068343,45.0,5,12500,23.40767426497011
77,Vancouver,LosAngeles,3686.9891531793655,48.0,17.26918579916299,16QAM,200,11.674883501927622,17.26918579916299,48.0,5,12500,15.358848360781792
78,Vancouver,Denver,2261.831246490179,29.0,17.541655818344857,32QAM,400,16.191581238341563,17.541655818344857,29.0,5,12500,24.642127887228042
79,Vancouver,KansasCity,3468.808276635722,46.0,18.02887065964268,32QAM,200,12.353631799404656,18.02887065964268,46.0,5,12500,15.703507941967104
80,Vancouver,Winnipeg,3969.3367962923685,50.0,16.679932149645193,32QAM,200,10.947754470463325,16.679932149645193,50.0,5,12500,14.81275303363276
81,Vancouver,Portland,259.758312652394,2.0,16.912287854377908,32QAM,400,10.485746778202776,16.912287854377908,2.0,5,12500,46.30714788532151
82,Vancouver,NewOrleans,4394.247985661831,54.0,16.802222608180198,16QAM,400,13.337563406630204,16.802222608180198,54.0,5,12500,16.310661099903342
83,Vancouver,Seattle,2845.687530127582,37.0,18.103695637592857,QPSK,200,12.838795995145487,18.103695637592857,37.0,5,12500,18.29108199820645
84,Vancouver,Calgary,1008.0540464378444,14.0,16.905088758240634,16QAM,100,16.360464964880727,16.905088758240634,14.0,5,12500,32.729963677583584
85,Vancouver,SanDiego,2089.0457181700085,23.0,18.726939359317583,32QAM,100,15.328258504095102,18.726939359317583,23.0,5,12500,24.911537752582078
86,Vancouver,Minneapolis,3313.250213511017,45.0,17.538033286300134,32QAM,200,10.806594881379285,17.538033286300134,45.0,5,12500,14.867097464472025
87,Vancouver,Calgary,6291.183331838051,80.0,16.17907384253985,16QAM,100,10.118276850113668,16.17907384253985,80.0,5,12500,9.784097427931073
88,Vancouver,OklahomaCity,5823.3757911726425,73.0,18.548649702235373,QPSK,100,14.889769915965884,18.548649702235373,73.0,5,12500,13.101686569342661
89,Vancouver,Winnipeg,8702.701205501837,107.0,15.126488136932792,8QAM,100,17.939954924146665,15.126488136932792,107.0,5,12500,15.750339209690893
90,Vancouver,Houston,5973.099669619327,78.0,16.08448703729995,QPSK,100,11.193725705614156,16.08448703729995,78.0,5,12500,11.207311168514366
91,Vancouver,Seattle,2845.687530127582,37.0,16.760987284320574,8QAM,100,14.365994908615178,16.760987284320574,37.0,5,12500,21.160989264948412
92,Vancouver,Chicago,3922.5800467460067,53.0,17.960575003386428,QPSK,100,13.255268169541493,17.960575003386428,53.0,5,12500,15.256934797729912
93,Vancouver,Winnipeg,2890.3070401284776,40.0,16.347041675259344,QPSK,400,13.13872540202265,16.347041675259344,40.0,5,12500,19.56804995272003
94,Vancouver,SaltLakeCity,1513.0547526857213,20.0,16.16514995650345,QPSK,100,19.893458035952275,16.16514995650345,20.0,5,12500,33.43614611100497
95,Vancouver,LosAngeles,2258.860582530132,28.0,17.570556245715714,16QAM,200,16.817708881790452,17.570556245715714,28.0,5,12500,25.59026830141876
96,Vancouver,Calgary,1008.0540464378444,14.0,17.294154915236657,8QAM,400,18.690177565700967,17.294154915236657,14.0,5,12500,34.670610121407805
97,Vancouver,Seattle,138.6671811785203,1.0,17.5495929880388,QPSK,400,19.090742804898504,17.5495929880388,1.0,5,12500,61.20631058395577
98,Vancouver,Nashville,4850.281469723194,57.0,16.575178258018553,32QAM,200,17.25250215024268,16.575178258018553,57.0,5,12500,19.9119719809747
99,Vancouver,Sacrameto,849.6728003417383,9.0,18.220715216288177,16QAM,100,14.071895756085645,18.220715216288177,9.0,5,12500,33.54409553353133
100,Vancouver,Houston,3791.5074369539475,46.0,16.243040989709954,16QAM,400,15.25209684232474,16.243040989709954,46.0,5,12500,20.387802654819893
101,Vancouver,Nashville,4155.904678733989,54.0,14.800158326013323,QPSK,100,17.04163314497808,14.800158326013323,54.0,5,12500,22.016795120418067
102,Vancouver,LosAngeles,2300.6153765954723,29.0,16.685394821075306,8QAM,100,16.347886632911273,16.685394821075306,29.0,5,12500,25.654694279067286
103,Vancouver,SaltLakeCity,1513.0547526857213,20.0,17.717951611369454,8QAM,400,13.743688976900579,17.717951611369454,20.0,5,12500,25.733575397087307
104,Vancouver,SaltLakeCity,1471.299958620381,19.0,18.284262953450884,32QAM,400,10.382660219526752,18.284262953450884,19.0,5,12500,22.319168241507526
105,Vancouver,SanDiego,2453.327988172288,31.0,16.624408486452474,16QAM,200,15.077054281224727,16.624408486452474,31.0,5,12500,23.77793451701686
106,Vancouver,SaltLakeCity,1513.0547526857213,20.0,16.938560040642415,QPSK,200,16.511015711857837,16.938560040642415,20.0,5,12500,29.280293702771587
107,Vancouver,LosAngeles,1222.1510671780518,14.0,16.998786741060165,8QAM,200,17.70476687320666,16.998786741060165,14.0,5,12500,33.98056760308998
108,Vancouver,Calgary,1008.0540464378444,14.0,16.261066297762106,QPSK,400,14.328651959305521,16.261066297762106,14.0,5,12500,31.34217313248689
109,Vancouver,Houston,3804.549061251361,46.0,17.009026301954922,8QAM,200,10.246968626902026,17.009026301954922,46.0,5,12500,14.616689127152227
110,Vancouver,LosAngeles,2300.6153765954723,29.0,17.546997120788184,8QAM,400,19.45963635685201,17.546997120788184,29.0,5,12500,27.904841703295148
111,Vancouver,Seattle,138.6671811785203,1.0,16.74969501021307,32QAM,100,15.561671784043327,16.74969501021307,1.0,5,12500,58.47713754092632
112,Vancouver,Portland,259.758312652394,2.0,16.72866014097438,16QAM,200,19.434295476015347,16.72866014097438,2.0,5,12500,55.43932429653759
113,Vancouver,Winnipeg,4011.091590357709,52.0,16.27737788623208,32QAM,200,18.564649888636815,16.27737788623208,52.0,5,12500,22.439995583686525
114,Vancouver,NewOrleans,4394.247985661831,54.0,15.781577057431978,8QAM,400,14.293998498534709,15.781577057431978,54.0,5,12500,18.28774174255605
115,Vancouver,SanFrancisco,733.3661095672783,8.0,17.485792846774707,8QAM,100,16.17310654400084,17.485792846774707,8.0,5,12500,37.55805904752384
116,Vancouver,LosAngeles,2258.860582530132,28.0,16.288185946386584,QPSK,400,15.877388795825617,16.288185946386584,28.0,5,12500,25.932318514783063
117,Vancouver,ElPaso,6899.711575910689,91.0,17.165325034880034,8QAM,400,14.848523514645075,17.165325034880034,91.0,5,12500,12.239764181692621
118,Vancouver,Seattle,138.6671811785203,1.0,15.668463834769264,8QAM,400,14.417109894832773,15.668463834769264,1.0,5,12500,58.41380682715959
119,Vancouver,Memphis,4419.316574986677,54.0,17.092222546053836,32QAM,200,15.5424412241292,17.092222546053836,54.0,5,12500,18.225538979528665
120,Vancouver,Houston,3804.549061251361,46.0,17.169208134476374,16QAM,400,15.377291555417528,17.169208134476374,46.0,5,12500,19.58683022314625
121,Vancouver,SanFrancisco,4107.965922616302,52.0,16.145880848664405,32QAM,200,16.383815795984294,16.145880848664405,52.0,5,12500,20.39065852860169
122,Vancouver,Minneapolis,9326.744760652391,117.0,18.81356922876055,8QAM,200,11.951127066120021,18.81356922876055,117.0,5,12500,5.180979256477983
123,Vancouver,NewYork,6584.3726743889165,82.0,17.94178055956135,16QAM,400,10.06151432279239,17.94178055956135,82.0,5,12500,7.717702057684576
124,Vancouver,Pittsburgh,5769.811450524276,73.0,15.700004663484311,16QAM,200,12.287614476083313,15.700004663484311,73.0,5,12500,13.348176168211154
125,Vancouver,Chicago,3922.5800467460067,53.0,18.38401449862548,16QAM,400,18.642749019745683,18.38401449862548,53.0,5,12500,20.220976152695044
126,Vancouver,Winnipeg,2890.3070401284776,40.0,16.397169678942213,QPSK,400,17.081330069519865,16.397169678942213,40.0,5,12500,23.460526616534366
127,Vancouver,NewOrleans,5112.650035898437,62.0,16.4604657355679,QPSK,400,10.732440267065265,16.4604657355679,62.0,5,12500,12.665791448142514
128,Vancouver,Miami,6686.451934293575,81.0,17.015884130922426,8QAM,400,14.657368193509342,17.015884130922426,81.0,5,12500,13.362153282958602
129,Vancouver,SaltLakeCity,1513.0547526857213,20.0,16.767208045069232,16QAM,200,13.985855346255846,16.767208045069232,20.0,5,12500,26.926485332742786
130,Vancouver,Portland,259.758312652394,2.0,16.305582292001834,32QAM,100,18.793661532300703,16.305582292001834,2.0,5,12500,55.22176820179547
131,Vancouver,Minneapolis,4721.09037379648,60.0,16.86311120665023,QPSK,100,13.323189193585982,16.86311120665023,60.0,5,12500,15.181793131810807
132,Vancouver,StLouis,4197.2621394947055,55.0,18.09849673753728,16QAM,100,10.937225791178637,18.09849673753728,55.0,5,12500,12.4305579684127
133,Vancouver,SaltLakeCity,1513.0547526857213,20.0,17.682424715135078,16QAM,400,15.116137360858307,17.682424715135078,20.0,5,12500,27.141550677279398
134,Vancouver,Portland,259.758312652394,2.0,18.100625359126038,QPSK,200,11.57271772786472,18.100625359126038,2.0,5,12500,46.20578133023531
135,Vancouver,ElPaso,5748.028192385171,73.0,16.61555658009925,8QAM,200,15.279764615759664,16.61555658009925,73.0,5,12500,15.424774391272564
136,Vancouver,SaltLakeCity,1910.8935004754303,23.0,17.00154035380106,8QAM,200,13.142548498387185,17.00154035380106,23.0,5,12500,24.451226752390696
137,Vancouver,LosAngeles,5117.573204175368,65.0,17.886960087054824,32QAM,100,19.07153738786443,17.886960087054824,65.0,5,12500,19.105865368949296
138,Vancouver,Seattle,138.6671811785203,1.0,16.490570948117757,32QAM,200,17.199231880011176,16.490570948117757,1.0,5,12500,60.3738216989895
139,Vancouver,Sacrameto,849.6728003417383,9.0,16.725936166432373,QPSK,200,12.757773676420804,16.725936166432373,9.0,5,12500,33.7247525037223
140,Vancouver,OklahomaCity,4496.83414569933,55.0,15.841830042904935,8QAM,200,12.721017188995614,15.841830042904935,55.0,5,12500,16.471016060862013
141,Vancouver,Portland,8350.603103014299,108.0,19.150611517657207,QPSK,100,13.086800169801514,19.150611517657207,108.0,5,12500,6.780037147998172
142,Vancouver,SaltLakeCity,1471.299958620381,19.0,16.044987837502664,8QAM,400,19.36354764293906,16.044987837502664,19.0,5,12500,33.539330780868056
143,Vancouver,Denver,2303.5860405555195,30.0,16.92889538115258,8QAM,100,16.95679301847577,16.92889538115258,30.0,5,12500,25.6810845877977
144,Vancouver,SaltLakeCity,1471.299958620381,19.0,18.831058069269226,QPSK,400,15.88395661725262,18.831058069269226,19.0,5,12500,27.273669523415037
145,Vancouver,Seattle,138.6671811785203,1.0,18.185258378812723,32QAM,200,12.132053044102642,18.185258378812723,1.0,5,12500,53.61195543238597
146,Vancouver,SaltLakeCity,1513.0547526857213,20.0,16.918343545829362,8QAM,400,16.563567576089184,16.918343545829362,20.0,5,12500,29.35306206181596
147,Vancouver,Memphis,4464.300285055138,55.0,16.222479530495782,32QAM,400,10.492715909040506,16.222479530495782,55.0,5,12500,13.862065293316078
148,Vancouver,Memphis,4238.417177789657,55.0,17.197918555116374,16QAM,200,18.456943185916117,17.197918555116374,55.0,5,12500,20.850853545571084
149,Vancouver,Phoenix,2295.204550529626,29.0,17.562688338028618,8QAM,400,17.8669000527483,17.562688338028618,29.0,5,12500,26.296414181951008
150,Vancouver,Seattle,2845.687530127582,37.0,16.852795059129214,8QAM,200,13.28340760124287,16.852795059129214,37.0,5,12500,19.986594182767462
151,Vancouver,Calgary,5831.983984788418,73.0,17.787930629308065,16QAM,200,10.954191279076598,17.787930629308065,73.0,5,12500,9.926827005380716
152,Vancouver,Cincinnati,5137.146414674443,64.0,17.6244862140072,8QAM,400,11.611243397777168,17.6244862140072,64.0,5,12500,12.063087117269333
153,Vancouver,LosAngeles,3242.2996748593523,41.0,16.808529097362925,QPSK,400,14.76978032341737,16.808529097362925,41.0,5,12500,20.490691326107424
154,Vancouver,Seattle,138.6671811785203,1.0,17.12608368145887,32QAM,100,19.44009077575807,17.12608368145887,1.0,5,12500,61.97916786139527
155,Vancouver,Minneapolis,3313.250213511017,45.0,16.193057309321183,16QAM,400,16.82263960942978,16.193057309321183,45.0,5,12500,22.228118169501485
156,Vancouver,Phoenix,2658.1459442399005,30.0,17.842822683750626,16QAM,400,13.020613169431872,17.842822683750626,30.0,5,12500,20.830977436155763
157,Vancouver,ElPaso,5036.695035433735,64.0,16.635185785382383,32QAM,200,19.4026666510873,16.635185785382383,64.0,5,12500,20.843810799204277
158,Vancouver,Dallas,3958.581362640242,48.0,17.071026226123784,32QAM,100,18.867529314505383,17.071026226123784,48.0,5,12500,22.749653746398764
159,Vancouver,LasVegas,2313.5869069453174,27.0,16.33754941290881,32QAM,100,11.429190090429021,16.33754941290881,27.0,5,12500,21.798432784572995
160,Vancouver,Montreal,5820.112389009667,75.0,15.845248134096902,8QAM,400,12.285117450634958,15.845248134096902,75.0,5,12500,12.93014894827104
161,Vancouver,LasVegas,6892.850296433153,87.0,16.95149920131741,16QAM,200,16.611660183652024,16.95149920131741,87.0,5,12500,14.666240562884852
162,Vancouver,SanFrancisco,6430.934242103271,82.0,15.749040288211926,32QAM,100,10.965118712378162,15.749040288211926,82.0,5,12500,10.814046718619792
163,Vancouver,SanDiego,1374.8636787548676,15.0,16.2811393365736,8QAM,400,12.324530750678084,16.2811393365736,15.0,5,12500,28.628050170178454
164,Vancouver,Indianapolis,4653.299836056106,61.0,17.116623019995263,32QAM,100,15.60219635589801,17.116623019995263,61.0,5,12500,17.041995461265685
165,Vancouver,KansasCity,4437.054895066136,57.0,15.262008093984818,QPSK,400,12.843777224494065,15.262008093984818,57.0,5,12500,16.81641721925982
166,Vancouver,SanFrancisco,733.3661095672783,8.0,16.750016268912066,32QAM,400,16.27484615831573,16.750016268912066,8.0,5,12500,38.39557523970137
167,Vancouver,Toronto,5472.581146693548,69.0,17.614078802406386,8QAM,200,11.170453643458103,17.614078802406386,69.0,5,12500,10.880470562175176
168,Vancouver,Calgary,1008.0540464378444,14.0,16.910353025770142,8QAM,400,19.670678784415966,16.910353025770142,14.0,5,12500,36.03491322958931
169,Vancouver,SaltLakeCity,1471.299958620381,19.0,16.283952934184622,32QAM,100,15.77720501349695,16.283952934184622,19.0,5,12500,29.71402305474399
170,Vancouver,Dallas,6436.46107293897,82.0,17.540661778088094,32QAM,200,11.68454062150187,17.540661778088094,82.0,5,12500,9.74184713786731
171,Vancouver,ElPaso,4779.781573954757,62.0,16.436360381673293,16QAM,400,16.968367581985305,16.436360381673293,62.0,5,12500,18.925824116957173
172,Vancouver,Portland,5339.730525177389,68.0,17.777971083416123,8QAM,400,12.762987130127,17.777971083416123,68.0,5,12500,12.455099762045847
173,Vancouver,Seattle,138.6671811785203,1.0,16.475462745649782,16QAM,100,16.856535829893524,16.475462745649782,1.0,5,12500,60.04623385133979
174,Vancouver,Sacrameto,2532.5206587540733,33.0,16.95968857420082,8QAM,400,16.88515216824133,16.95968857420082,33.0,5,12500,24.625548746471765
175,Vancouver,NewOrleans,5475.8683884483635,69.0,15.925149484498567,QPSK,400,12.088978385506259,15.925149484498567,69.0,5,12500,13.48792462213116
176,Vancouver,LosAngeles,3137.6123071393067,39.0,17.218261140592244,QPSK,400,16.346146871510868,17.218261140592244,39.0,5,12500,22.157430036718253
177,Vancouver,Minneapolis,3313.250213511017,45.0,15.97715470714349,QPSK,400,10.260681768651228,15.97715470714349,45.0,5,12500,15.88206293090063
178,Vancouver,SanFrancisco,733.3661095672783,8.0,16.237381495232594,QPSK,100,13.699684852013862,16.237381495232594,8.0,5,12500,36.33304870707897
179,Vancouver,NewOrleans,6524.199893333569,84.0,16.388097316037296,16QAM,200,12.095628330099135,16.388097316037296,84.0,5,12500,11.064523792724799
180,Vancouver,Pittsburgh,5356.598423315803,68.0,16.92112704349167,32QAM,100,12.332976826221369,16.92112704349167,68.0,5,12500,12.881933498064683
181,Vancouver,Winnipeg,2890.3070401284776,40.0,16.59664351142334,32QAM,400,16.58891447139266,16.59664351142334,40.0,5,12500,22.768637185926025
182,Vancouver,SaltLakeCity,1910.8935004754303,23.0,16.439050276316863,8QAM,400,17.013828850786687,16.439050276316863,23.0,5,12500,28.884997182274418
183,Vancouver,Tampa,7137.847959239958,91.0,18.554576473181953,QPSK,100,12.156559234951185,18.554576473181953,91.0,5,12500,8.158548463696789
184,Vancouver,KansasCity,3893.361675294879,48.0,16.985895787838317,QPSK,400,18.650574087238752,16.985895787838317,48.0,5,12500,22.617828957417572
185,Vancouver,Portland,259.758312652394,2.0,17.597000238721193,QPSK,400,16.223339852053954,17.597000238721193,2.0,5,12500,51.360028574829386
